intent,text
p2p_transfer,قم بتحويل 8 دنانير لسمير
p2p_transfer,أرسل 8 دنانير لسمير
p2p_transfer,حوّل لسمير 8 دنانير
p2p_transfer,أرسل 8 دنانير إلى سمير
p2p_transfer,حوّل إلى سمير 8 دنانير
p2p_transfer,قم بتحويل 13 دينار لفرح
p2p_transfer,أرسل 13 دينار لفرح
p2p_transfer,حوّل لفرح 13 دينار
p2p_transfer,أرسل 13 دينار إلى فرح
p2p_transfer,حوّل إلى فرح 13 دينار
pay_bill,ادفع فاتورة الكهرباء الخاصة بك
pay_bill,ادفع فاتورة المياه الخاصة بك
pay_bill,ادفع فاتورة الإنترنت الخاصة بك
pay_bill,ادفع فاتورة هاتفك
pay_bill,ادفع فاتورة الغاز الخاصة بك
pay_bill,ادفع الرسوم الجامعية
pay_bill,ادفع فاتورة المياه المتأخرة
pay_bill,ادفع فاتورة الكهرباء لهذا الشهر.
pay_bill,ادفع فاتورة هاتفك الأرضي
pay_bill,ادفع فاتورة الإنترنت لشهر أغسطس
pay_bill,ادفع الرسوم الدراسية
pay_bill,ادفع ضريبة العقار
pay_bill,ادفع فاتورة الإنترنت عبر الألياف الضوئية
pay_bill,ادفع فاتورة الكهرباء فوراً
pay_bill,ادفع فاتورة المياه اليوم
pay_bill,ادفع رسوم الاشتراك في باقة الهاتف المحمول
pay_bill,ادفع فاتورة التلفزيون الخاصة بك
pay_bill,ادفع غرامة المرور
pay_bill,ادفع رسوم الجامعة لهذا الفصل الدراسي.
pay_bill,ادفع فاتورة الغاز الآن
pay_bill,ادفع فاتورة المياه للمنزل
pay_bill,ادفع فاتورة الكهرباء باسم المنزل.
pay_bill,ادفع فاتورة هاتفك الشهرية
pay_bill,دفع رسوم الخدمة
pay_bill,ادفع فاتورة شركة الهاتف الخاصة بك
pay_bill,ادفع فاتورة الإنترنت الخاصة بك للشهر الماضي.
pay_bill,ادفع فاتورة المياه لهذا الشهر.
pay_bill,ادفع فاتورة الكهرباء المتأخرة.
pay_bill,ادفع فاتورة هاتفك
pay_bill,ادفع الفاتورة المستحقة.
p2p_transfer,حوّل 5 دنانير إلى أحمد
p2p_transfer,حوّل 10 دنانير إلى ليلى
p2p_transfer,حوّل 15 دينارًا إلى محمد
p2p_transfer,حوّل 20 دينارًا إلى سارة
p2p_transfer,حوّل 25 دينار إلى خالد
p2p_transfer,حوّل 30 دينار إلى رنا
p2p_transfer,حوّل 35 دينار إلى عمر
p2p_transfer,حوّل 40 دينار إلى مريم
p2p_transfer,حوّل 45 دينار إلى يوسف
p2p_transfer,حوّل 50 دينارًا إلى هبة
p2p_transfer,حوّل 60 دينارًا إلى نور
p2p_transfer,حوّل 70 دينارًا إلى علي
p2p_transfer,حوّل 80 دينار إلى تالا
p2p_transfer,حوّل 90 دينار إلى سلمى
p2p_transfer,حوّل 100 دينار إلى زيد
p2p_transfer,حوّل دينارين إلى أحمد
p2p_transfer,حوّل ثلاث دنانير إلى ليلى
p2p_transfer,حوّل أربعة دنانير إلى محمد
p2p_transfer,حوّل 12 دينار إلى سارة اليوم
p2p_transfer,حوّل 18 دينار إلى خالد الآن
p2p_transfer,حوّل 22 دينار إلى رنا فورًا
p2p_transfer,حوّل 37 دينار إلى عمر
p2p_transfer,حوّل 55 دينار إلى مريم
p2p_transfer,حوّل 75 دينار إلى يوسف
p2p_transfer,حوّل 95 دينار إلى هبة
p2p_transfer,حوّل مبلغ 10 دنانير إلى حمزة
p2p_transfer,حوّل مبلغ 15 دينار إلى ريم
p2p_transfer,حوّل مبلغ 20 دينار إلى مراد
p2p_transfer,حوّل 8 دنانير إلى سمير
p2p_transfer,حوّل 13 دينار إلى فرح
pay_bill,ادفع فاتورة الكهرباء
pay_bill,ادفع فاتورة المي
pay_bill,سدد فاتورة الإنترنت
pay_bill,ادفع فاتورة الهاتف
pay_bill,ادفع فاتورة الغاز
pay_bill,ادفع رسوم الجامعة
pay_bill,سدد فاتورة المياه المتأخرة
pay_bill,ادفع اشتراك الكهرباء لهذا الشهر
pay_bill,ادفع فاتورة الهاتف الأرضي
pay_bill,ادفع فاتورة الإنترنت لشهر آب
pay_bill,ادفع رسوم المدرسة
pay_bill,سدد ضريبة المسقفات
pay_bill,ادفع فاتورة النت للفايبر
pay_bill,ادفع فاتورة الكهرباء فورًا
pay_bill,سدد فاتورة المي اليوم
pay_bill,ادفع رسوم اشتراك باقة الموبايل
pay_bill,ادفع فاتورة التلفزيون
pay_bill,ادفع مخالفة السير
pay_bill,ادفع رسوم الجامعة لهذا الفصل
pay_bill,سدد فاتورة الغاز الآن
pay_bill,ادفع فاتورة المياه للبيت
pay_bill,ادفع فاتورة الكهرباء باسم البيت
pay_bill,ادفع فاتورة الهاتف الشهري
pay_bill,سدد رسوم الخدمة
pay_bill,ادفع فاتورة شركة الاتصالات
pay_bill,سدد فاتورة الإنترنت عن الشهر الماضي
pay_bill,ادفع فاتورة المياه عن هذا الشهر
pay_bill,ادفع فاتورة الكهرباء المتراكمة
pay_bill,سدد قيمة فاتورة الهاتف
pay_bill,ادفع الفاتورة المستحقة
p2p_transfer,حوّل 5 دنانير لأحمد
p2p_transfer,حوّل 10 دنانير لليلى
p2p_transfer,حوّل 15 دينار لمحمد
p2p_transfer,حوّل 20 دينار لسارة
p2p_transfer,حوّل 25 دينار لخالد
p2p_transfer,حوّل 30 دينار لرنا
p2p_transfer,حوّل 35 دينار لعمر
p2p_transfer,حوّل 40 دينار لمريم
p2p_transfer,حوّل 45 دينار ليوسف
p2p_transfer,حوّل 50 دينار لهبة
p2p_transfer,حوّل 60 دينار لنور
p2p_transfer,حوّل 70 دينار لعلي
p2p_transfer,حوّل 80 دينار لتالا
p2p_transfer,حوّل 90 دينار لسلمى
p2p_transfer,حوّل 100 دينار لزيد
p2p_transfer,حوّل دينارين لأحمد
p2p_transfer,حوّل ثلاث دنانير لليلى
p2p_transfer,حوّل أربعة دنانير لمحمد
p2p_transfer,حوّل 12 دينار لسارة اليوم
p2p_transfer,حوّل 18 دينار لخالد الآن
p2p_transfer,حوّل 22 دينار لرنا فورًا
p2p_transfer,حوّل 37 دينار لعمر
p2p_transfer,حوّل 55 دينار لمريم
p2p_transfer,حوّل 75 دينار ليوسف
p2p_transfer,حوّل 95 دينار لهبة
p2p_transfer,حوّل مبلغ 10 دنانير لحمزة
p2p_transfer,حوّل مبلغ 15 دينار لريم
p2p_transfer,حوّل مبلغ 20 دينار لمراد
p2p_transfer,حوّل 8 دنانير لسمير
p2p_transfer,حوّل 13 دينار لفرح
